t,H2O2,OH,HO2,H2O,O2
25.400000000000006,521297440986295.7,0.4433425390633582,1680119596136.9204,2749981546165.3965,441822532461.4481
25.6,521298257710194.5,0.3529711717627515,1677143243748.3052,2749981546165.4854,442639256360.2754
25.800000000000004,521299071544385.2,0.2810396637250911,1674175048592.5347,2749981546165.5566,443453090551.0923
26.0,521299882501882.9,0.22378164768732015,1671214978126.8635,2749981546165.6133,444264048048.8949
26.200000000000003,521300690595629.2,0.1782008247417066,1668262999981.2703,2749981546165.658,445072141795.29865
26.400000000000006,521301495838492.9,0.1419133547990053,1665319081957.317,2749981546165.6943,445877384659.0414
26.6,521302298243270.4,0.11302254157042982,1662383192027.0095,2749981546165.722,446679789436.4836
26.800000000000004,521303097822686.0,0.0900191747860161,1659455298331.6738,2749981546165.745,447479368852.103
27.0,521303894589392.8,0.07170229744706968,1656535369180.8376,2749981546165.763,448276135558.98615
27.200000000000003,521304688555973.3,0.05711617568842511,1653623373051.121,2749981546165.7783,449070102139.31573
27.400000000000006,521305479734938.7,0.04550017893599201,1650719278585.1377,2749981546165.7896,449861281104.8537
27.6,521306268138731.3,0.036248909243259644,1647823054590.4026,2749981546165.7983,450649684897.4217
27.800000000000004,521307053779723.2,0.02888049068657155,1644934670038.25,2749981546165.806,451435325889.3753
28.0,521307836670217.9,0.023011339518459316,1642054094062.7588,2749981546165.8125,452218216384.07666
28.200000000000003,521308616822450.3,0.018336095366444673,1639181295959.687,2749981546165.8174,452998368616.3627
28.400000000000006,521309394248586.9,0.014611653938493823,1636316245185.4146,2749981546165.8203,453775794753.0085
28.6,521310168960727.0,0.01164446055188716,1633458911355.894,2749981546165.823,454550506893.18896
28.800000000000004,521310940970902.7,0.009280401914356836,1630609264245.609,2749981546165.826,455322517068.93427
29.0,521311710291079.4,0.007396759959279906,1627767273786.5417,2749981546165.8276,456091837245.58435
29.200000000000003,521312476933156.1,0.005895810691748047,1624932910067.151,2749981546165.829,456858479322.2377
29.400000000000006,521313240908966.0,0.0046997279826694206,1622106143331.3503,2749981546165.8306,457622455132.19745
29.6,521314002230277.3,0.0037465284137836443,1619286943977.5034,2749981546165.831,458383776443.4139
29.800000000000004,521314760908792.8,0.0029868432602958546,1616475282557.4216,2749981546165.832,459142454958.92346
30.0,521315516956151.2,0.0023813473797187233,1613671129775.3706,2749981546165.832,459898502317.2838
30.200000000000003,521316270383926.9,0.0018987150834563764,1610874456487.086,2749981546165.833,460651930093.0062
30.400000000000006,521317021203631.0,0.0015139923242050337,1608085233698.7937,2749981546165.8345,461402749796.98376
30.6,521317769426710.8,0.0012072976113652032,1605303432566.2415,2749981546165.8345,462150972876.9165
30.800000000000004,521318515064551.6,0.0009627902821056945,1602529024393.7344,2749981546165.8345,462896610717.7334
31.0,521319258128475.9,0.0007678487477433421,1599761980633.1816,2749981546165.8345,463639674642.01056
31.200000000000003,521319998629744.3,0.0006124150950225746,1597002272883.1475,2749981546165.8345,464380175910.3864
31.400000000000006,521320736579555.9,0.0004884755056984403,1594249872887.909,2749981546165.8345,465118125721.9738
31.6,521321471989048.7,0.0003896424038674391,1591504752536.5254,2749981546165.8345,465853535214.76855
31.800000000000004,521322204869300.0,0.00031082493189536477,1588766883861.9106,2749981546165.8345,466586415466.0544
32.0,521322935231326.8,0.0002479658231880532,1586036239039.9126,2749981546165.8345,467316777492.80585
32.2,521323663086086.1,0.00019783086877550607,1583312790388.4038,2749981546165.8345,468044632252.08704
